notebook,model_id,slug,storage,gpus,download_status,local_path,model_dir_exists,eligible
115_jinaai__ReaderLM-v2.ipynb,jinaai/ReaderLM-v2,jinaai__ReaderLM-v2,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/jinaai__ReaderLM-v2,yes,yes
116_openbmb__MiniCPM-V-4.6.ipynb,openbmb/MiniCPM-V-4.6,openbmb__MiniCPM-V-4.6,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM-V-4.6,yes,yes
117_openai__privacy-filter.ipynb,openai/privacy-filter,openai__privacy-filter,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openai__privacy-filter,yes,yes
118_CohereLabs__cohere-transcribe-03-2026.ipynb,CohereLabs/cohere-transcribe-03-2026,CohereLabs__cohere-transcribe-03-2026,SSD1,1,Incomplete,/disk/ssd1/zihaomu_amd/models/CohereLabs__cohere-transcribe-03-2026,yes,no
119_baidu__Qianfan-OCR.ipynb,baidu/Qianfan-OCR,baidu__Qianfan-OCR,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/baidu__Qianfan-OCR,yes,yes
120_deepseek-ai__DeepSeek-OCR-2.ipynb,deepseek-ai/DeepSeek-OCR-2,deepseek-ai__DeepSeek-OCR-2,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-OCR-2,yes,yes
121_deepseek-ai__DeepSeek-OCR.ipynb,deepseek-ai/DeepSeek-OCR,deepseek-ai__DeepSeek-OCR,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-OCR,yes,yes
122_google__siglip2-so400m-patch16-naflex.ipynb,google/siglip2-so400m-patch16-naflex,google__siglip2-so400m-patch16-naflex,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__siglip2-so400m-patch16-naflex,yes,yes
123_google__siglip2-so400m-patch16-256.ipynb,google/siglip2-so400m-patch16-256,google__siglip2-so400m-patch16-256,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__siglip2-so400m-patch16-256,yes,yes
124_google__siglip2-base-patch16-naflex.ipynb,google/siglip2-base-patch16-naflex,google__siglip2-base-patch16-naflex,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__siglip2-base-patch16-naflex,yes,yes
125_microsoft__VibeVoice-ASR.ipynb,microsoft/VibeVoice-ASR,microsoft__VibeVoice-ASR,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__VibeVoice-ASR,yes,yes
